"date","report_url","report_title","report_description"
7 July 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160707.pdf",,"SORs are implied to fix lower by around -2.8bps, -2.8bps and -4.6bps in the 1M, 3M and 6M tenors respectively tonight based on the closing swap levels."
5 July 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160705.pdf",,"SORs are implied to fix mostly higher by around 1.3bps, 1.4bps and -2.3bps in the 1M, 3M and 6M tenors respectively
tonight based on the closing swap levels."
23 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160623.pdf",," SORs are implied to fix lower by around -1.4bps, -1.5bps and -1.1bps in the 1M, 3M and 6M tenors respectively tonight
based on the closing swap levels."
22 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160622.pdf",,"SORs are implied to fix lower by around -2.7bps, -6.6bps and -6.2bps in the 1M, 3M and 6M tenors respectively tonight
based on the closing swap levels."
21 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160621.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
20 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160620.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
17 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160617.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
16 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160616.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
15 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160615.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
14 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160614.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
13 June 2016,"http://www.uobgroup.com/assets/pdfs/research/DR_160613.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
