"date","report_url","report_title","report_description","report_type"
7 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160707.pdf","US June 2016 FOMC Minutes: ","Uncertainties About US Jobs & External Risks Kept The Fed Prudent In June","United States"
1 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160701A.pdf","Malaysia: ","May Exports Disappoints With 0.9% Drop ","Malaysia"
1 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160701.pdf","Brexit - A Week On&hellip;",,"United Kingdom"
30 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160630A.pdf","Taiwan: ","CBC Cuts Rate As Expected ","Taiwan"
30 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160630.pdf","Brexit Fallout - Assessing Market And Economic Impact In Asia ",,"United Kingdom"
28 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160628A.pdf","Brexit, The Aftermath - Our Thoughts",,"United Kingdom"
28 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160628.pdf","Indonesia"," Tax Amnesty Bill Finally Passed","Indonesia"
24 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160624A.pdf","Singapore"," May Manufacturing Numbers Were In Line With Expectations; Brexit May Pose New Challenges For Singapore's Manufacturers","Singapore"
24 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160624.pdf","EUlogy - UK Votes To Leave EU",,"United Kingdom"
23 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160623.pdf","Singapore"," May Headline CPI Fell The Most Since 1986 Due To One-Off Factors, But Core Inflation Edged To Highest Level In 14 Months","Singapore"
22 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160622.pdf","Thailand"," The BoT Remains On Hold As Expected","Thailand"
21 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160621.pdf","The UK's EU Referendum"," The Final Stretch","United Kingdom"
17 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160617A.pdf","Singapore's NODX Surge In May Was Driven Mainly By Prefab Building (>13ppt) But Gold Exports Only Added 2.5ppt",,"Singapore"
17 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160617.pdf","Indonesia"," Bank Indonesia Resumed Rate Cut, Announced More Easing Measures","Indonesia"
16 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160616B.pdf","Japan BOJ Jun 16 MPM"," Damned If You Do, Damned If You Don't","Japan"
16 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160616A.pdf","US June 2016 FOMC"," An Expected June Decision While Fed Scales Back Rate Hike Trajectory Further","United States"
16 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160616.pdf","Malaysia"," May CPI Edges Lower To 2.0%; No OPR Cut Yet (If At All)","Malaysia"
9 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160609A.pdf","South Korea"," BOK Unexpectedly Cut Interest Rate","South Korea"
9 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160609.pdf","RBNZ Stays Pat But Keeps To Easing Bias",,"New Zealand"
8 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160608.pdf","Malaysia"," Stable Foreign Reserves At US$97.3bn  ","Malaysia"
7 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160607.pdf","RBA Holds Fire",,"Australia"
3 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160603C.pdf","US"," What The Job... Only 38,000 In May?","United States"
3 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160603B.pdf","Malaysia"," April Exports Uninspiring ","Malaysia"
3 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160603A.pdf","Thailand"," A Perspective For Understanding Real Estate Market","Thailand"
3 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160603.pdf","EU Referendum"," What To Look Out For?","Eurozone"
2 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160602.pdf","Japan"," Another Delay In Sales Tax Hike, Upper House Elections Set On 10 July & Looking Forward To An Autumn Fiscal Stimulus","Japan"
26 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160526.pdf","Singapore"," Stronger April Manufacturing Numbers Bode Well For 2Q GDP Growth","Singapore"
25 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160525A.pdf","Indonesia"," Waiting For The Tax Amnesty Bill To Be Passed","Indonesia"
25 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160525.pdf","Singapore"," 1Q GDP Grew 1.8%; Weakness In Manufacturing May Have Bottomed Out, But Services Sector Risks Growing Along A Slower Path","Singapore"
23 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160523A.pdf","Singapore"," April Core Inflation Edged To Highest Level in 13 Months","Singapore"
23 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160523.pdf","Japan"," Steeper Tumble In April Imports Draws 3rd Month Of Surplus","Japan"
20 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160520A.pdf","Malaysia"," Inflation Ebbs to 2.1% in April","Malaysia"
20 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160520.pdf","Malaysia"," BNM Hold Rates Steady but Wary","Malaysia"
19 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160519A.pdf","Indonesia"," Bank Indonesia Holding Fire As Expected ","Indonesia"
19 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160519.pdf","US Apr 16 FOMC Minutes"," Don't Rule Out June","United States"
18 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160518.pdf","Japan"," 1Q 16 GDP Beats Expectations, Avoids Technical Recession","Japan"
17 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160517.pdf","Singapore"," Another NODX Disappointment In April","Singapore"
16 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160516.pdf","Thailand"," 1Q16 GDP Rises 3.2%, Beating Estimates","Thailand"
13 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160513A.pdf","Malaysia"," Slower 1Q16 GDP of 4.2% but OPR to Stay Unchanged","Malaysia"
13 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160513.pdf","South Korea"," BOK Maintained Interest Rate ","South Korea"
11 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160511.pdf","Thailand"," The BoT Stands Pat As Expected ","Thailand"
6 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160506.pdf","US"," April Jobs Report At 160,000, Missing The Mark&hellip;","United States"
4 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160504.pdf","Indonesia"," 1Q16 GDP Growth Below Expectation ","Indonesia"
3 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160503A.pdf","RBA Cuts For The First Time In A Year",,"Australia"
3 May 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160503.pdf","Malaysia"," Vulnerabilities of Contingent Liabilities ","Malaysia"
