"date","report_url","report_title","report_description"
8 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160708.pdf","Chart Of The Day - USD/CNH: 6.6970","Room for extension to 6.7150."
7 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160707.pdf","Chart Of The Day – GBP/SGD: 1.7445","1.7700 exceeded, next target at 1.6900."
5 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160705.pdf","Chart Of The Day – AUD/SGD: 1.0130","Bullish – target a move to retest 1.0225."
4 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160704.pdf","Chart Of The Day – USD/THB: 35.06","Bearish- target a move to 34.84."
1 July 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160701.pdf","Chart Of The Day – EUR/USD: 1.1110","Diminished bearish momentum but downside risk is still clearly intact"
30 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160630.pdf","Chart Of The Day – USD/SGD: 1.3470","A clear break below 1.3410 would greatly improve the odds for a move to the pre-Brexit low of 1.3310/15."
29 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160629.pdf","Chart Of The Day – USD/SGD: 1.3535","Short-term upward pressure has eased; in a broad 1.3460/1.3660 range now"
28 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160628.pdf","Lorem ipsum dolor sit amet, ea vel essent","Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens"
27 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160627.pdf","Lorem ipsum dolor sit amet, ea vel essent","Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens"
23 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160623.pdf","Lorem ipsum dolor sit amet, ea vel essent","Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens"
22 June 2016,"http://www.uobgroup.com/assets/pdfs/research/FXI_160622.pdf","Lorem ipsum dolor sit amet, ea vel essent","Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens"
