"quarter","section","link_title","link_description","link_url"
"3Q 2016",1,"Executive Summary","""Should I Stay Or Should I Go?""","http://www.uobgroup.com/assets/pdfs/research/E-Summary_3q16.pdf"
"3Q 2016",2,"FX & Interest Rate Outlook",,"http://www.uobgroup.com/assets/pdfs/research/FX_3q16.pdf"
"3Q 2016",3,"China Focus","A Brief Assessment Of The Debt Situation","http://www.uobgroup.com/assets/pdfs/research/CN-Focus_3q16.pdf"
"3Q 2016",3,"Singapore Focus","Updating The UOB SGD NEER Model","http://www.uobgroup.com/assets/pdfs/research/SG-Focus_3q16.pdf"
"3Q 2016",3,"UK Focus","23 June EU Referendum Looms","http://www.uobgroup.com/assets/pdfs/research/UK-Focus_3q16.pdf"
"3Q 2016",3,"Gold Focus","All That Glitters Is Gold (At Least In 1H 2016)","http://www.uobgroup.com/assets/pdfs/research/Gold-Focus_3q16.pdf"
"3Q 2016",3,"FX Strategy ","The Underpriced Opportunities Of The Brexit Vote","http://www.uobgroup.com/assets/pdfs/research/FX-Strategy_3q16.pdf"
"3Q 2016",3,"Rates Strategy ","Dormant Not Extinct","http://www.uobgroup.com/assets/pdfs/research/Rates-Strategy_3q16.pdf"
"3Q 2016",5,"Full Report","Quarterly Global Outlook 3Q2016","http://www.uobgroup.com/assets/pdfs/research/QGO_3q16.pdf"
"3Q 2016",4,"FX Technicals",,"http://www.uobgroup.com/assets/pdfs/research/FXT_3q16.pdf"
"2Q 2016",1,"Executive Summary","Monetary Policy Is  Not Dead. But With Paradoxical Effect","http://www.uobgroup.com/assets/pdfs/research/E-Summary_2q16.pdf"
"2Q 2016",2,"FX & Interest Rate Outlook",,"http://www.uobgroup.com/assets/pdfs/research/FX_2q16.pdf"
"2Q 2016",3,"Asean Focus ","AEC: The China-ASEAN Connection","http://www.uobgroup.com/assets/pdfs/research/ASEAN-Focus_2q16.pdf"
"2Q 2016",3,"China Focus","Growth And Policy Targets Set For 2016","http://www.uobgroup.com/assets/pdfs/research/CN-Focus_2q16.pdf"
"2Q 2016",3,"&#20013;&#22269;&#28966;&#28857;","2016&#24180;&#22686;&#38271;&#21644;&#25919;&#31574;&#30446;&#26631;&#35774;&#31435;","http://www.uobgroup.com/assets/pdfs/research/CN-Focus_CN_2q16.pdf"
"2Q 2016",3,"GMS Focus","Border Trade In The Greater Mekong Sub-Region (GMS)"" Challenges An Opportunities","http://www.uobgroup.com/assets/pdfs/research/GMS-Focus_2q16.pdf"
"2Q 2016",3,"Oil Focus","The Colour of Oil in 2016: Back to Black?","http://www.uobgroup.com/assets/pdfs/research/Oil-Focus_2q16.pdf"
"2Q 2016",3,"Singapore Focus","April Policy Stance To Remain Intact Despite Still-Weak Economic Conditions?","http://www.uobgroup.com/assets/pdfs/research/SG-Focus_2q16.pdf"
"2Q 2016",3,"FX Strategy ","A Bumpy Road For Dollar?","http://www.uobgroup.com/assets/pdfs/research/FX-Strategy_2q16.pdf"
"2Q 2016",5,"Full Report","Quarterly Global Outlook 2Q2016","http://www.uobgroup.com/assets/pdfs/research/QGO_2q16.pdf"
"2Q 2016",4,"FX Technicals",,"http://www.uobgroup.com/assets/pdfs/research/FXT_2q16.pdf"
"1Q 2016",1,"Executive Summary","In Search Of Silver Linings Amidst A Cloudy Outlook","http://www.uobgroup.com/assets/pdfs/research/E-Summary_1q16.pdf"
"1Q 2016",2,"FX & Interest Rate Outlook",,"http://www.uobgroup.com/assets/pdfs/research/FX_1q16.pdf"
"1Q 2016",3,"TPPA Focus ","What We Need To Know About The Trans-Pacific Partnership Agreement (TPPA)","http://www.uobgroup.com/assets/pdfs/research/TPPA_1q16.pdf"
