"date","report_url","report_title","report_description"
8 July 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160708.pdf",,"The key US data everyone will be watching will be Friday's (8 Jul) US June Labor report of which much of the attention will be on the non-farm payrolls data (Bloomberg median forecast at 180k from 38k in May while the June unemployment rate is likely to edge higher to 4.8% from 4.7% in May)."
7 July 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160707.pdf",,"Ahead of the US Labor report on Friday, we will have the June ADP employment change data on Thursday (7 Jul) instead of its usual Wednesday release due to today's US holiday (4 Jul) while the other important US labor-related data is the Challenger jobs cuts data for month of June. "
5 July 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160705.pdf",,"The US markets return from their 4th of July Independence Day holiday with a moderately packed data docket on Tuesday (5 Jul) but the focus is likely on the New York Fed President William Dudley (permanent FOMC voter) speaking in New York on Tuesday."
4 July 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160704.pdf",,"This is a short week for the US as the biggest economy in the world celebrates one of its most important holidays, the 4th of July Independence Day (Monday). Even though this is a holiday-shortened week for the US, there will be significant US data which could move financial markets. "
1 July 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160701.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
30 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160630.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
29 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160629.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
28 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160628.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
27 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160627.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
24 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160624.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
23 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160623.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
22 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160622.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
21 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160621.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
20 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160620.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
17 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160617.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
16 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160616.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
15 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160615.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
14 June 2016,"http://www.uobgroup.com/assets/pdfs/research/MO_160614.pdf",,"Lorem ipsum dolor sit amet, ea vel essent latine integre. Porro accusam urbanitas duo in, cum ei novum dolore adolescens, aeterno oportere argumentum mei ea. Vel offendit reformidans consectetuer id, ius dico ludus laoreet ad. Diam blandit splendide pri ad. Ne iusto eleifend vim, duis cotidieque his ne."
