"date","report_url","report_title","report_description"
31 May 2016,"http://www.uobgroup.com/assets/pdfs/research/SRM_160531.pdf","Singapore Rates Monthly",
29 April 2016,"http://www.uobgroup.com/assets/pdfs/research/SRM_160429.pdf","Singapore Rates Monthly",
30 March 2016,"http://www.uobgroup.com/assets/pdfs/research/SRM_160330.pdf","Singapore Rates Monthly",
29 February 2016,"http://www.uobgroup.com/assets/pdfs/research/SRM_160229.pdf","Singapore Rates Monthly",
28 January 2016,"http://www.uobgroup.com/assets/pdfs/research/SRM_160128.pdf","Singapore Rates Monthly",
11 November 2015,"http://www.uobgroup.com/assets/pdfs/research/SRM_151111.pdf","Singapore Rates Monthly",
7 October 2015,"http://www.uobgroup.com/assets/pdfs/research/SRM_151007.pdf","Singapore Rates Monthly",
15 September 2015,"http://www.uobgroup.com/assets/pdfs/research/SRM_150915.pdf","Singapore Rates Monthly",
12 August 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150812.pdf","Singapore Rates Monthly",
16 July 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150716.pdf","Singapore Rates Monthly",
10 June 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150610.pdf","Singapore Rates Monthly",
26 May 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150526.pdf","Preview of 10Y Singapore Government Securities (SGS) Bond Auction",
20 May 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150520.pdf","The Global Bond Selloff, SGS Not Immune But Has Outperformed",
14 April 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150414.pdf","Surveying The Post MAS Rates Environment",
6 April 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150406.pdf","Peeking Under The Hood: Singapore Savings Bonds",
25 March 2015,"http://www.uobgroup.com/assets/pdfs/research/SN_150325.pdf","Preview Of 7Y Singapore Government Securities (SGS) Bond Auction",
6 March 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_150306.pdf","MAS Monetary Policy Changes And The Rates Market Point Of View",
23 February 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_150223.pdf","Preview Of 30Y Singapore Government Securities (SGS) Bond Auction",
29 January 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_150129A.pdf","Singapore Rates Reaction To Policy Surprise",
26 January 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_150126A.pdf","Preview of 2Y SGS bond auction",
9 January 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_150109A.pdf","Short Term Dislocations In The Term Structure Of SGD vs USD IRS Spread",
2 January 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_150102A.pdf","Expecting Higher 10Y Bond Yields, Again",
30 December 2014,"http://www.uobgroup.com/assets/pdfs/research/Flash_141230.pdf","Reflections On SGD Short End Rates",
2 December 2014,"http://www.uobgroup.com/assets/pdfs/research/Flash_141202.pdf","Short Term Increase In Oil Price Correlation To Asian Rates",
28 November 2014,"http://www.uobgroup.com/assets/pdfs/research/Flash_141128.pdf","Singapore: Tactical 10Y20Y SGS Steepeners Into 30 Years Auction Reopen",
25 November 2014,"http://www.uobgroup.com/assets/pdfs/research/Flash_141125.pdf","Singapore: December Seasonal Behaviour Generally Risk Positive",
19 November 2014,"http://www.uobgroup.com/assets/pdfs/research/Flash_141119A.pdf","Indonesia Bonds: Where To Next?",
