"date","report_url","report_title","report_description"
8 July 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160708.pdf","Weekly Outlook:  11 - 15 July 2016",
1 July 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160701.pdf","Weekly Outlook:  4 - 8 July 2016",
24 June 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160624.pdf","Weekly Outlook:  27 June - 1 July 2016",
17 June 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160617.pdf","Weekly Outlook:  20 - 24 June 2016",
10 June 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160610.pdf","Weekly Outlook:  13 - 17 June 2016",
3 June 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160603.pdf","Weekly Outlook:  6 - 10 June 2016",
27 May 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160527.pdf","Weekly Outlook:  30 May - 3 June 2016",
20 May 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160520.pdf","Weekly Outlook:  23 - 27 May 2016",
13 May 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160513.pdf","Weekly Outlook:  16 - 20 May 2016",
6 May 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160506.pdf","Weekly Outlook:  9 - 13 May 2016",
29 April 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160429.pdf","Weekly Outlook:  2 - 6 May 2016",
22 April 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160422.pdf","Weekly Outlook:  25 - 29 April  2016",
15 April 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160415.pdf","Weekly Outlook:  18 - 22 April  2016",
8 April 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160408.pdf","Weekly Outlook:  11 - 15 April  2016",
1 April 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160401.pdf","Weekly Outlook:  4 - 8  April  2016",
24 March 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160324.pdf","Weekly Outlook:  28  March - 1 April  2016",
18 March 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160318.pdf","Weekly Outlook:  21 - 25  March 2016",
11 March 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160311.pdf","Weekly Outlook:  14 - 18  March 2016",
4 March 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160304.pdf","Weekly Outlook:  7 - 11  March 2016",
26 February 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160226.pdf","Weekly Outlook:  29 February  - 4 March 2016",
19 February 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160219.pdf","Weekly Outlook:  22 - 26 February 2016",
12 February 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160212.pdf","Weekly Outlook:  15 - 19 February 2016",
5 February 2016,"http://www.uobgroup.com/assets/pdfs/research/WO_160205.pdf","Weekly Outlook:  8 - 12 February 2016",
29 January 2016,"http://www.uobgroup.com/assets/pdfs/research/SGS_160129.pdf","SGS Perspective:  1 - 5 February 2016",
22 January 2016,"http://www.uobgroup.com/assets/pdfs/research/SGS_160122.pdf","SGS Perspective:  25 - 29 January 2016",
15 January 2016,"http://www.uobgroup.com/assets/pdfs/research/SGS_160115.pdf","SGS Perspective:  18 - 22 January 2016",
8 January 2016,"http://www.uobgroup.com/assets/pdfs/research/SGS_160108.pdf","SGS Perspective:  11 - 15 January 2016",
17 December 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151217.pdf","SGS Perspective:  21 December 2015 - 8 January 2016",
11 December 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151211.pdf","SGS Perspective:  14 -18 December 2015",
4 December 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151204.pdf","SGS Perspective:  7 - 11 December 2015",
27 November 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151127.pdf","SGS Perspective:  30 November - 4 December 2015",
20 November 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151120.pdf","SGS Perspective:  23 - 27 November 2015",
13 November 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151113.pdf","SGS Perspective:  16 - 20 November 2015",
6 November 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151106.pdf","SGS Perspective:  9 - 13 November 2015",
30 October 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151030.pdf","SGS Perspective:  2 - 6 November 2015",
23 October 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151023.pdf","SGS Perspective:  26 - 30 October 2015",
16 October 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151016.pdf","SGS Perspective:  19 - 23 October 2015",
9 October 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151009.pdf","SGS Perspective:  12 - 16 October 2015",
2 October 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_151002.pdf","SGS Perspective:  5 - 9 October 2015",
25 September 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150925.pdf","SGS Perspective:  28 September - 2 October 2015",
18 September 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150918.pdf","SGS Perspective:  21 - 25 September 2015",
10 September 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150910.pdf","SGS Perspective:  14 - 18 September 2015",
4 September 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150904.pdf","SGS Perspective:  7 - 11 September 2015",
28 August 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150828.pdf","SGS Perspective:  31 August - 4 September 2015",
21 August 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150821.pdf","SGS Perspective:  24 - 28 August 2015",
14 August 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150814.pdf","SGS Perspective:  17 - 21 August 2015",
6 August 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150806.pdf","SGS Perspective:  10 - 14 August 2015",
31 July 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150731.pdf","SGS Perspective:  3 - 7 August 2015",
24 July 2015,"http://www.uobgroup.com/assets/pdfs/research/SGS_150724.pdf","SGS Perspective:  27 - 31 July 2015",
